Sample Number,Sample Date,Sample Time,Sample Site,Sample class,Residual Free Chlorine (mg/L),Turbidity (NTU),Fluoride (mg/L),Coliform (Quanti-Tray) (MPN /100mL),E.coli(Quanti-Tray) (MPN/100mL)
201724725,09-02-17,11:38,12150,Compliance,0.90,0.68,,<1,<1
201724726,09-02-17,11:01,15050,Compliance,0.31,0.56,,<1,<1
201724727,09-02-17,08:59,16250,Compliance,0.71,0.53,,<1,<1
201724728,09-02-17,08:48,20900,Operational,0.47,0.48,,<1,<1
201724729,09-02-17,11:15,23850,Compliance,0.71,0.73,,<1,<1
201724730,09-02-17,08:31,25150,Compliance,0.53,0.52,,<1,<1
201724731,09-02-17,08:11,26750,Compliance,0.33,0.46,,<1,<1
201724732,09-02-17,09:18,27000,Operational,0.67,0.63,,<1,<1
201724733,09-02-17,09:22,27550,Compliance,0.33,0.58,,<1,<1
201724734,09-02-17,09:49,27850,Compliance,0.68,0.52,,<1,<1
201724735,09-02-17,10:41,29050,Compliance,0.63,0.54,,<1,<1
201724736,09-02-17,07:23,29450,Compliance,0.38,0.51,,<1,<1
201724737,09-02-17,07:12,30250,Compliance,0.22,0.48,,<1,<1
201724738,09-02-17,07:40,32650,Compliance,0.27,0.51,,<1,<1
201724739,09-02-17,08:14,34850,Compliance,0.31,0.50,,<1,<1
201724740,09-02-17,09:11,35150,Compliance,0.54,0.60,,<1,<1
201724741,09-02-17,08:43,36350,Compliance,0.15,0.47,,<1,<1
201724742,09-02-17,09:30,3SC26,Operational,0.45,0.54,,<1,<1
201724743,09-02-17,11:00,40200,Operational,0.83,0.63,,<1,<1
201724744,09-02-17,11:31,40650,Compliance,0.85,0.73,,<1,<1
201724745,09-02-17,07:58,41450,Compliance,0.34,0.53,,<1,<1
201724746,09-02-17,11:55,42750,Compliance,0.06,0.53,,<1,<1
201724747,09-02-17,10:29,44250,Compliance,0.70,0.50,,<1,<1
201724748,09-02-17,07:28,46950,Compliance,0.51,0.51,,<1,<1
201724749,09-02-17,08:29,50300,Operational,0.90,0.53,,<1,<1
201724750,09-02-17,08:02,51850,Compliance,0.39,0.45,,<1,<1
201724751,09-02-17,09:48,55450,Compliance,0.42,0.53,,<1,<1
201724752,09-02-17,08:59,58950,Compliance,0.51,0.53,,<1,<1
201724753,09-02-17,11:27,78350,Compliance,0.34,0.60,,<1,<1
201724754,09-02-17,10:32,79150,Compliance,0.05,0.54,,<1,<1
201727867,10-02-17,10:15,1S07,Operational,0.76,0.58,,<1,<1
201727868,10-02-17,11:04,1S03,Operational,0.73,0.63,0.7,<1,<1
201727869,10-02-17,09:44,1S03A,Operational,1.02,0.61,0.72,<1,<1
201727870,10-02-17,10:59,1S03B,Operational,0.76,0.59,0.7,<1,<1
201727871,10-02-17,11:28,1SCL1,Operational,0.78,0.63,0.72,<1,<1
201727872,10-02-17,11:21,1SCH3,Operational,0.66,0.59,0.71,<1,<1
201727873,10-02-17,12:11,11900,Operational,0.76,0.67,,<1,<1
201727875,10-02-17,12:03,15300,Operational,0.05,0.52,,<1,<1
201727876,10-02-17,10:16,16450,Compliance,0.82,0.60,,<1,<1
201727877,10-02-17,09:05,16650,Compliance,0.92,0.58,,<1,<1
201727878,10-02-17,11:36,18750,Compliance,0.71,0.51,,<1,<1
201727879,10-02-17,08:59,20900,Operational,0.51,0.51,,<1,<1
201727880,10-02-17,10:54,22550,Compliance,0.73,0.62,,<1,<1
201727881,10-02-17,10:59,24850,Compliance,0.29,0.50,,<1,<1
201727882,10-02-17,12:12,25100,Operational,0.55,0.53,,<1,<1
201727883,10-02-17,11:35,25350,Compliance,0.39,0.53,,<1,<1
201727884,10-02-17,09:28,25550,Compliance,0.40,0.59,,<1,<1
201727885,10-02-17,08:54,26550,Compliance,0.12,0.79,,<1,<1
201727886,10-02-17,08:54,27000,Operational,0.79,0.71,,<1,<1
201727887,10-02-17,10:21,28950,Compliance,0.21,0.56,,<1,<1
201727888,10-02-17,08:45,30750,Compliance,0.24,0.58,,<1,<1
201727889,10-02-17,09:38,31350,Compliance,0.36,0.65,,<1,<1
201727890,10-02-17,11:23,32050,Compliance,0.47,0.55,,<1,<1
201727891,10-02-17,09:09,32200,Operational,0.61,0.62,,<1,<1
201727892,10-02-17,10:19,34350,Compliance,0.54,0.64,,<1,<1
201727893,10-02-17,12:05,35450,Compliance,0.21,0.58,,<1,<1
201727895,10-02-17,09:36,3SC26,Operational,0.66,0.48,,<1,<1
201727896,10-02-17,10:24,40200,Operational,0.97,0.67,,<1,<1
201727897,10-02-17,12:39,41600,Operational,0.84,0.61,,<1,<1
201727898,10-02-17,11:11,41950,Compliance,0.72,0.56,,<1,<1
201727899,10-02-17,12:24,43550,Compliance,0.55,0.52,,<1,<1
201727900,10-02-17,10:00,44150,Compliance,0.80,0.65,,<1,<1
201727901,10-02-17,11:26,45850,Compliance,0.58,0.59,,<1,<1
201727902,10-02-17,11:42,46450,Compliance,0.88,0.58,,<1,<1
201727903,10-02-17,12:02,49200,Operational,0.81,0.62,,<1,<1
201727904,10-02-17,12:02,50050,Compliance,0.25,0.51,,<1,<1
201727905,10-02-17,11:26,50200,Operational,0.79,0.55,,<1,<1
201727906,10-02-17,10:50,50300,Operational,1.00,0.53,,<1,<1
201727907,10-02-17,09:43,52350,Compliance,0.49,0.55,,<1,<1
201727908,10-02-17,09:02,56300,Operational,0.98,0.66,,<1,<1
201727909,10-02-17,10:22,58850,Compliance,1.00,0.60,,<1,<1
201727910,10-02-17,09:24,77550,Compliance,0.34,0.62,,<1,<1
201727911,10-02-17,09:52,77850,Compliance,0.32,0.60,,<1,<1
201727912,10-02-17,10:18,78650,Compliance,0.40,0.51,,<1,<1
201731261,11-02-17,09:15,1S07,Operational,0.77,0.76,,<1,<1
201731262,11-02-17,10:43,1S03,Operational,0.83,0.61,0.68,<1,<1
201731263,11-02-17,09:15,1S03A,Operational,0.98,0.67,0.7,<1,<1
201731264,11-02-17,09:30,1S03B,Operational,0.83,0.66,0.69,<1,<1
201731265,11-02-17,11:08,1SCL1,Operational,0.75,0.67,0.7,<1,<1
201731266,11-02-17,11:07,1SCH3,Operational,0.73,0.67,0.69,<1,<1
201731267,11-02-17,10:21,11150,Compliance,0.79,0.73,,<1,<1
201731268,11-02-17,12:06,11450,Compliance,1.05,0.84,,<1,<1
201731269,11-02-17,11:08,12550,Compliance,1.01,0.77,,<1,<1
201731270,11-02-17,08:27,14950,Compliance,0.35,0.62,,<1,<1
201731271,11-02-17,09:34,18800,Operational,0.71,0.85,,<1,<1
201731272,11-02-17,09:33,20350,Compliance,0.27,0.57,,<1,<1
201731273,11-02-17,10:07,20900,Operational,0.49,0.74,,<1,<1
201731274,11-02-17,08:46,22350,Compliance,0.64,0.69,,<1,<1
201731275,11-02-17,11:29,25050,Compliance,0.47,0.76,,<1,<1
201731276,11-02-17,08:40,25450,Compliance,0.58,0.83,,<1,<1
201731277,11-02-17,10:44,25900,Operational,0.65,0.80,,<1,<1
201731278,11-02-17,11:52,26300,Operational,0.55,0.81,,<1,<1
201731279,11-02-17,10:37,27000,Operational,0.87,0.62,,<1,<1
201731280,11-02-17,09:28,28450,Compliance,0.30,0.63,,<1,<1
201731281,11-02-17,10:06,28550,Compliance,0.67,0.72,,<1,<1
201731282,11-02-17,08:27,30450,Compliance,0.12,0.52,,<1,<1
201731283,11-02-17,10:01,31850,Compliance,0.42,0.84,,<1,<1
201731284,11-02-17,12:28,32750,Compliance,0.35,0.70,,<1,<1
201731285,11-02-17,10:15,33150,Compliance,0.38,0.72,,<1,<1
201731286,11-02-17,11:40,33850,Compliance,0.39,0.62,,<1,<1
201731287,11-02-17,09:35,36500,Operational,0.42,0.67,,<1,<1
201731288,11-02-17,09:04,36600,Operational,0.45,0.84,,<1,<1
201731289,11-02-17,10:57,39800,Operational,0.58,0.67,,<1,<1
201731290,11-02-17,09:41,3SC26,Operational,0.60,0.63,,<1,<1
201731291,11-02-17,08:32,40200,Operational,1.03,0.92,,<1,<1
201731292,11-02-17,11:20,40450,Compliance,0.38,0.62,,<1,<1
201731293,11-02-17,11:50,40550,Compliance,0.86,0.62,,<1,<1
201731294,11-02-17,07:48,41550,Compliance,0.65,0.66,,<1,<1
201731295,11-02-17,08:26,43050,Compliance,0.58,0.64,,<1,<1
201731296,11-02-17,11:25,43900,Operational,0.26,0.58,,<1,<1
201731297,11-02-17,09:02,45750,Compliance,0.37,0.53,,<1,<1
201731298,11-02-17,13:09,48700,Operational,0.48,1.04,,<1,<1
201731299,11-02-17,10:54,50200,Operational,0.75,0.60,,<1,<1
201731300,11-02-17,11:52,50300,Operational,1.01,0.70,,<1,<1
201731301,11-02-17,09:10,51550,Compliance,0.12,0.64,,<1,<1
201731302,11-02-17,10:15,52550,Compliance,0.51,0.63,,<1,<1
201731303,11-02-17,11:20,56400,Operational,0.82,0.62,,<1,<1
201731304,11-02-17,09:39,58300,Operational,0.92,0.70,,<1,<1
201731305,11-02-17,10:20,76850,Compliance,0.40,0.68,,<1,<1
201731306,11-02-17,09:42,77350,Compliance,0.37,0.61,,<1,<1
201731307,11-02-17,10:55,78450,Compliance,0.00,0.70,,<1,<1
201734275,12-02-17,09:15,1S07,Operational,0.79,0.70,,<1,<1
201734276,12-02-17,08:30,1S03,Operational,0.66,0.65,0.69,<1,<1
201734277,12-02-17,11:07,1S03A,Operational,1.11,0.68,0.7,<1,<1
201734278,12-02-17,10:34,1S03B,Operational,0.83,0.72,0.7,<1,<1
201734279,12-02-17,09:06,1SCL1,Operational,0.70,0.73,0.71,<1,<1
201734280,12-02-17,08:54,1SCH3,Operational,0.71,0.70,0.71,<1,<1
201734281,12-02-17,09:51,10850,Compliance,0.56,0.53,,<1,<1
201734282,12-02-17,11:53,13050,Compliance,0.91,0.67,,<1,<1
201734283,12-02-17,09:46,13350,Compliance,0.44,0.68,,<1,<1
201734284,12-02-17,12:29,17750,Compliance,0.69,0.71,,<1,<1
201734285,12-02-17,11:38,20050,Compliance,0.59,0.72,,<1,<1
201734286,12-02-17,11:05,20900,Operational,0.47,0.79,,<1,<1
201734287,12-02-17,10:32,21150,Compliance,0.61,0.67,,<1,<1
201734288,12-02-17,09:19,21450,Compliance,0.64,0.74,,<1,<1
201734289,12-02-17,11:06,23550,Compliance,0.55,0.64,,<1,<1
201734290,12-02-17,09:50,27000,Operational,0.84,0.69,,<1,<1
201734291,12-02-17,07:40,29350,Compliance,0.16,0.62,,<1,<1
201734292,12-02-17,08:26,29850,Compliance,0.63,0.61,,<1,<1
201734293,12-02-17,07:06,30050,Compliance,0.47,0.88,,<1,<1
201734294,12-02-17,08:24,32150,Compliance,0.69,0.64,,<1,<1
201734295,12-02-17,07:36,32950,Compliance,0.51,0.76,,<1,<1
201734296,12-02-17,08:08,34650,Compliance,0.54,0.58,,<1,<1
201734297,12-02-17,10:09,35350,Compliance,0.42,0.77,,<1,<1
201734298,12-02-17,08:44,3SC26,Operational,0.62,0.62,,<1,<1
201734299,12-02-17,08:18,40150,Compliance,0.22,0.61,,<1,<1
201734300,12-02-17,07:47,40200,Operational,0.84,0.69,,<1,<1
201734301,12-02-17,10:48,43650,Compliance,0.69,0.64,,<1,<1
201734302,12-02-17,08:40,44350,Compliance,0.40,0.63,,<1,<1
201734303,12-02-17,07:17,44950,Compliance,0.84,0.60,,<1,<1
201734304,12-02-17,10:08,45050,Compliance,0.67,0.72,,<1,<1
201734305,12-02-17,07:58,45650,Compliance,0.63,0.65,,<1,<1
201734306,12-02-17,09:54,50300,Operational,1.00,0.79,,<1,<1
201734307,12-02-17,09:38,51350,Compliance,0.73,0.76,,<1,<1
201734308,12-02-17,09:08,52450,Compliance,0.87,0.61,,<1,<1
201734309,12-02-17,08:30,58150,Compliance,0.93,0.71,,<1,<1
201734310,12-02-17,09:33,76750,Compliance,0.59,0.66,,<1,<1
201734311,12-02-17,08:56,79050,Compliance,0.55,0.81,,<1,<1
201700310,01-03-17,08:54,1S07,Operational,0.83,0.71,,<1,<1
201700311,01-03-17,11:10,1S03,Operational,0.81,0.61,0.72,<1,<1
201700312,01-03-17,11:04,1S03A,Operational,0.91,0.68,0.73,<1,<1
201700313,01-03-17,12:15,1S03B,Operational,0.60,0.70,0.73,<1,<1
201700314,01-03-17,11:44,1SCL1,Operational,0.88,0.14,0.78,<1,<1
201700315,01-03-17,11:37,1SCH3,Operational,0.67,<0.10,0.75,<1,<1
201700316,01-03-17,08:23,10250,Compliance,0.87,0.53,,<1,<1
201700317,01-03-17,10:29,10550,Compliance,0.62,0.28,,<1,<1
201700318,01-03-17,10:15,13550,Compliance,0.48,0.56,,<1,<1
201700319,01-03-17,09:50,13600,Operational,0.93,0.72,,<1,<1
201700320,01-03-17,11:41,17050,Compliance,0.72,0.62,,<1,<1
201700321,01-03-17,09:19,18450,Compliance,0.76,0.72,,<1,<1
201700327,01-03-17,10:33,20900,Operational,0.79,0.56,,<1,<1
201700328,01-03-17,11:29,21050,Compliance,0.78,0.61,,<1,<1
201700329,01-03-17,12:00,21350,Compliance,0.74,0.66,,<1,<1
201700330,01-03-17,09:27,21950,Compliance,0.74,0.61,,<1,<1
201700331,01-03-17,08:43,22300,Operational,0.76,0.57,,<1,<1
201700332,01-03-17,10:29,24650,Compliance,0.64,0.70,,<1,<1
201700333,01-03-17,11:37,24700,Operational,0.72,0.63,,<1,<1
201700334,01-03-17,09:59,24950,Compliance,0.56,0.57,,<1,<1
201700335,01-03-17,11:04,25950,Compliance,0.73,0.63,,<1,<1
201700336,01-03-17,09:22,26950,Compliance,0.79,0.72,,<1,<1
201700337,01-03-17,09:44,27000,Operational,0.80,0.72,,<1,<1
201700338,01-03-17,09:00,30350,Compliance,0.45,0.43,,<1,<1
201700339,01-03-17,09:49,34050,Compliance,0.63,0.42,,<1,<1
201700340,01-03-17,12:13,34150,Compliance,0.38,0.45,,<1,<1
201700341,01-03-17,10:47,35000,Operational,0.46,0.44,,<1,<1
201700342,01-03-17,11:51,35050,Compliance,0.48,0.10,,<1,<1
201700343,01-03-17,10:17,36000,Operational,0.71,0.55,,<1,<1
201700344,01-03-17,11:29,38650,Compliance,0.42,0.45,,<1,<1
201700345,01-03-17,09:45,39400,Operational,0.47,0.15,,<1,<1
201700346,01-03-17,09:26,3SC26,Operational,0.76,<0.10,,<1,<1
201700347,01-03-17,08:37,40200,Operational,0.78,0.70,,<1,<1
201700348,01-03-17,08:51,40300,Operational,0.90,0.71,,<1,<1
201700349,01-03-17,10:43,40850,Compliance,0.79,0.64,,<1,<1
201700350,01-03-17,10:20,40950,Compliance,0.78,0.63,,<1,<1
201700351,01-03-17,08:16,42350,Compliance,0.84,0.69,,<1,<1
201700352,01-03-17,09:17,42950,Compliance,0.71,0.62,,<1,<1
201700353,01-03-17,09:42,43950,Compliance,0.40,0.56,,<1,<1
201700354,01-03-17,11:10,50200,Operational,0.86,0.71,,<1,<1
201700355,01-03-17,11:28,50300,Operational,0.76,0.70,,<1,<1
201700356,01-03-17,10:10,51050,Compliance,0.42,0.53,,<1,<1
201700357,01-03-17,09:38,58350,Compliance,0.66,0.65,,<1,<1
201700358,01-03-17,09:01,58400,Operational,0.62,0.57,,<1,<1
201700359,01-03-17,10:37,59350,Compliance,0.83,0.60,,<1,<1
201700360,01-03-17,08:51,77050,Compliance,0.62,0.69,,<1,<1
201700361,01-03-17,08:27,77650,Compliance,0.58,0.58,,<1,<1
201703363,02-03-17,10:23,1S07,Operational,0.68,0.89,,<1,<1
201703364,02-03-17,09:05,1S03,Operational,0.83,0.74,0.66,<1,<1
201703365,02-03-17,10:38,1S03A,Operational,0.87,0.83,0.69,<1,<1
201703366,02-03-17,11:40,1S03B,Operational,0.90,0.75,0.67,<1,<1
201703367,02-03-17,08:42,1SCL1,Operational,0.79,0.13,0.62,<1,<1
201703368,02-03-17,08:39,1SCH3,Operational,0.80,<0.10,0.71,<1,<1
201703369,02-03-17,10:07,11550,Compliance,0.80,0.83,,<1,<1
201703370,02-03-17,09:03,13850,Compliance,0.59,0.57,,<1,<1
201703371,02-03-17,09:31,15550,Compliance,0.68,<0.10,,<1,<1
201703372,02-03-17,11:18,17550,Compliance,0.59,<0.10,,<1,<1
201703373,02-03-17,10:50,18200,Operational,0.71,<0.10,,<1,<1
201703374,02-03-17,11:00,19000,Operational,0.85,0.88,,<1,<1
201703375,02-03-17,09:49,20900,Operational,0.67,0.67,,<1,<1
201703376,02-03-17,10:53,21100,Operational,0.68,0.67,,<1,<1
201703377,02-03-17,10:20,21850,Compliance,0.70,0.69,,<1,<1
201703378,02-03-17,08:37,22050,Compliance,0.63,0.67,,<1,<1
201703379,02-03-17,11:33,22400,Operational,0.80,0.92,,<1,<1
201703380,02-03-17,10:01,23350,Compliance,0.63,0.71,,<1,<1
201703381,02-03-17,10:51,23650,Compliance,0.64,0.78,,<1,<1
201703382,02-03-17,08:44,24150,Compliance,0.70,0.72,,<1,<1
201703383,02-03-17,09:16,25250,Compliance,0.85,0.73,,<1,<1
201703384,02-03-17,09:13,27000,Operational,0.77,0.86,,<1,<1
201703385,02-03-17,12:09,29550,Compliance,0.60,1.08,,<1,<1
201703386,02-03-17,08:51,30950,Compliance,0.49,0.54,,<1,<1
201703387,02-03-17,10:11,32400,Operational,0.46,0.57,,<1,<1
201703388,02-03-17,09:46,32550,Compliance,0.51,0.54,,<1,<1
201703389,02-03-17,11:47,34550,Compliance,0.65,<0.10,,<1,<1
201703390,02-03-17,11:17,35750,Compliance,0.49,0.52,,<1,<1
201703391,02-03-17,09:17,36700,Operational,0.48,0.43,,<1,<1
201703392,02-03-17,10:43,39750,Compliance,0.50,0.48,,<1,<1
201703393,02-03-17,09:48,3SC26,Operational,0.68,0.10,,<1,<1
201703394,02-03-17,08:11,40750,Compliance,0.87,0.78,,<1,<1
201703395,02-03-17,11:48,41150,Compliance,0.76,0.82,,<1,<1
201703396,02-03-17,08:08,41350,Compliance,0.60,0.62,,<1,<1
201703397,02-03-17,10:01,41850,Compliance,0.71,0.76,,<1,<1
201703398,02-03-17,08:41,43600,Operational,0.65,0.81,,<1,<1
201703399,02-03-17,09:29,44750,Compliance,0.68,0.80,,<1,<1
201703400,02-03-17,12:20,47500,Operational,0.62,0.69,,<1,<1
201703401,02-03-17,10:36,50200,Operational,0.26,0.67,,<1,<1
201703402,02-03-17,09:35,50300,Operational,1.04,0.92,,<1,<1
201703403,02-03-17,10:58,50650,Compliance,0.73,1.05,,<1,<1
201703404,02-03-17,11:41,51150,Compliance,0.66,1.08,,<1,<1
201703405,02-03-17,12:33,56200,Operational,0.31,0.66,,<1,<1
201703406,02-03-17,12:13,58650,Compliance,0.44,0.69,,<1,<1
201703407,02-03-17,11:08,76650,Compliance,0.61,0.88,,<1,<1
201703408,02-03-17,10:36,78050,Compliance,0.61,0.67,,<1,<1
201703409,02-03-17,11:37,78850,Compliance,0.60,0.68,,<1,<1
201705971,03-03-17,11:11,1S07,Operational,0.75,0.80,,<1,<1
201705972,03-03-17,10:19,1S03,Operational,0.86,0.77,0.68,<1,<1
201705973,03-03-17,08:13,1S03A,Operational,0.84,0.74,0.69,<1,<1
201705974,03-03-17,08:51,1S03B,Operational,0.95,0.79,0.68,<1,<1
201705975,03-03-17,09:56,1SCL1,Operational,0.83,0.82,0.68,<1,<1
201705976,03-03-17,09:53,1SCH3,Operational,0.86,0.74,0.69,<1,<1
201705977,03-03-17,10:35,11050,Compliance,0.86,0.79,,<1,<1
201705978,03-03-17,07:48,12250,Compliance,0.85,0.77,,<1,<1
201705979,03-03-17,10:01,14450,Compliance,0.81,0.79,,<1,<1
201705980,03-03-17,08:59,14850,Compliance,0.75,0.84,,<1,<1
201705981,03-03-17,08:20,16950,Compliance,0.70,0.77,,<1,<1
201705982,03-03-17,09:16,18900,Operational,0.84,0.72,,<1,<1
201705983,03-03-17,09:03,20900,Operational,0.68,0.69,,<1,<1
201705984,03-03-17,09:36,21250,Compliance,0.56,0.78,,<1,<1
201705985,03-03-17,10:06,21400,Operational,0.68,0.79,,<1,<1
201705986,03-03-17,09:08,21650,Compliance,0.62,0.73,,<1,<1
201705987,03-03-17,10:43,23150,Compliance,0.79,0.76,,<1,<1
201705988,03-03-17,09:39,23200,Operational,0.69,0.79,,<1,<1
201705989,03-03-17,10:07,23250,Compliance,0.67,0.74,,<1,<1
201705990,03-03-17,11:12,23750,Compliance,0.64,0.75,,<1,<1
201705991,03-03-17,11:33,24050,Compliance,0.57,0.81,,<1,<1
201705992,03-03-17,12:09,26850,Compliance,0.68,0.82,,<1,<1
201705993,03-03-17,08:28,27000,Operational,0.73,0.80,,<1,<1
201705994,03-03-17,09:30,30850,Compliance,0.72,0.82,,<1,<1
201705995,03-03-17,08:34,32850,Compliance,0.60,0.86,,<1,<1
201705996,03-03-17,10:37,33250,Compliance,0.46,0.86,,<1,<1
201705997,03-03-17,09:04,33600,Operational,0.59,0.86,,<1,<1
201705998,03-03-17,11:03,34950,Compliance,0.67,0.82,,<1,<1
201705999,03-03-17,11:04,35100,Operational,0.10,0.57,,<1,<1
201706000,03-03-17,09:38,35650,Compliance,0.57,0.86,,<1,<1
201706001,03-03-17,11:33,35800,Operational,0.57,0.82,,<1,<1
201706002,03-03-17,11:33,3SC26,Operational,0.80,0.80,,<1,<1
201706003,03-03-17,11:04,41250,Compliance,0.69,0.80,,<1,<1
201706004,03-03-17,11:38,41750,Compliance,0.62,0.76,,<1,<1
201706005,03-03-17,09:09,42850,Compliance,0.71,0.81,,<1,<1
201706006,03-03-17,09:52,44550,Compliance,0.58,1.50,,<1,<1
201706007,03-03-17,08:42,44700,Operational,0.74,0.83,,<1,<1
201706008,03-03-17,10:31,45000,Operational,0.57,0.93,,<1,<1
201706009,03-03-17,11:03,47750,Compliance,0.62,0.89,,<1,<1
201706010,03-03-17,10:38,50200,Operational,0.91,0.90,,<1,<1
201706011,03-03-17,11:24,50300,Operational,0.94,0.79,,<1,<1
201706012,03-03-17,09:12,51250,Compliance,0.38,0.60,,<1,<1
201706013,03-03-17,10:09,51950,Compliance,0.77,0.74,,<1,<1
201706014,03-03-17,09:48,53500,Operational,0.44,0.86,,<1,<1
201706015,03-03-17,11:03,59300,Operational,0.93,0.86,,<1,<1
201706016,03-03-17,11:30,76950,Compliance,0.50,0.72,,<1,<1
201706017,03-03-17,12:01,77150,Compliance,0.47,0.75,,<1,<1
201708882,04-03-17,10:44,1S07,Operational,0.69,1.09,,<1,<1
201708883,04-03-17,11:47,1S03,Operational,0.81,0.94,0.7,<1,<1
201708884,04-03-17,10:38,1S03A,Operational,0.90,0.94,0.71,<1,<1
201708885,04-03-17,09:11,1S03B,Operational,0.77,1.04,0.71,<1,<1
201708886,04-03-17,12:18,1SCL1,Operational,0.59,0.95,0.71,<1,<1
201708887,04-03-17,12:06,1SCH3,Operational,0.79,0.90,0.71,<1,<1
201708888,04-03-17,10:09,10250,Compliance,0.80,0.76,,<1,<1
201708889,04-03-17,11:29,10550,Compliance,0.50,0.85,,<1,<1
201708890,04-03-17,11:15,13550,Compliance,0.89,0.86,,<1,<1
201708891,04-03-17,12:02,13600,Operational,0.99,0.78,,<1,<1
201708892,04-03-17,10:02,17050,Compliance,0.85,0.85,,<1,<1
201708893,04-03-17,12:40,18450,Compliance,0.84,0.91,,<1,<1
201708895,04-03-17,10:45,20900,Operational,0.62,0.94,,<1,<1
201708896,04-03-17,11:36,21050,Compliance,0.81,0.94,,<1,<1
201708897,04-03-17,12:02,21350,Compliance,0.73,0.96,,<1,<1
201708898,04-03-17,09:39,21950,Compliance,0.72,0.94,,<1,<1
201708899,04-03-17,09:06,22300,Operational,0.66,0.82,,<1,<1
201708900,04-03-17,10:24,24650,Compliance,0.63,1.13,,<1,<1
201708901,04-03-17,11:31,24700,Operational,0.47,0.97,,<1,<1
201708902,04-03-17,10:04,24950,Compliance,0.30,0.89,,<1,<1
201708903,04-03-17,11:04,25950,Compliance,0.65,1.05,,<1,<1
201708904,04-03-17,09:41,26950,Compliance,0.75,1.08,,<1,<1
201708905,04-03-17,10:06,27000,Operational,0.90,1.03,,<1,<1
201708906,04-03-17,08:35,30350,Compliance,0.49,1.04,,<1,<1
201708907,04-03-17,09:26,34050,Compliance,0.66,0.87,,<1,<1
201708908,04-03-17,11:41,34150,Compliance,0.62,0.93,,<1,<1
201708909,04-03-17,10:18,35000,Operational,0.56,0.89,,<1,<1
201708910,04-03-17,11:13,35050,Compliance,0.58,0.90,,<1,<1
201708911,04-03-17,09:20,36000,Operational,0.58,0.83,,<1,<1
201708912,04-03-17,10:45,38650,Compliance,0.58,1.00,,<1,<1
201708913,04-03-17,09:44,39400,Operational,0.49,1.07,,<1,<1
201708914,04-03-17,08:52,3SC26,Operational,0.42,1.17,,<1,<1
201708916,04-03-17,08:57,40300,Operational,0.89,1.01,,<1,<1
201708917,04-03-17,08:39,40850,Compliance,0.68,0.93,,<1,<1
201708918,04-03-17,08:08,40950,Compliance,0.79,0.97,,<1,<1
201708919,04-03-17,08:22,42350,Compliance,0.73,0.89,,<1,<1
201708920,04-03-17,09:42,42950,Compliance,0.72,1.24,,<1,<1
201708921,04-03-17,11:40,43950,Compliance,0.36,0.90,,<1,<1
201708922,04-03-17,10:55,50200,Operational,0.88,0.91,,<1,<1
201708923,04-03-17,11:20,50300,Operational,0.88,1.09,,<1,<1
201708924,04-03-17,09:53,51050,Compliance,0.74,1.04,,<1,<1
201708925,04-03-17,09:26,58350,Compliance,0.61,0.82,,<1,<1
201708926,04-03-17,08:59,58400,Operational,0.55,0.92,,<1,<1
201708927,04-03-17,10:23,59350,Compliance,0.82,1.06,,<1,<1
201708928,04-03-17,11:02,77050,Compliance,0.49,0.97,,<1,<1
201708929,04-03-17,10:33,77650,Compliance,0.55,0.90,,<1,<1
201711877,05-03-17,13:02,1S07,Operational,0.96,0.93,,<1,<1
201711878,05-03-17,11:14,1S03,Operational,1.02,0.83,0.71,<1,<1
201711879,05-03-17,11:18,1S03A,Operational,0.88,0.92,0.71,<1,<1
201711880,05-03-17,11:50,1S03B,Operational,1.16,0.86,0.71,<1,<1
201711881,05-03-17,11:49,1SCL1,Operational,0.98,0.90,0.71,<1,<1
201711882,05-03-17,11:46,1SCH3,Operational,1.09,0.85,0.71,<1,<1
201711883,05-03-17,10:00,10150,Compliance,0.54,0.90,,<1,<1
201711884,05-03-17,10:28,11750,Compliance,0.40,0.80,,<1,<1
201711885,05-03-17,11:01,12150,Compliance,0.89,1.01,,<1,<1
201711886,05-03-17,09:28,14000,Operational,0.90,0.85,,<1,<1
201711887,05-03-17,09:37,15050,Compliance,0.64,0.95,,<1,<1
201711888,05-03-17,10:45,16250,Compliance,0.61,0.99,,<1,<1
201711889,05-03-17,10:09,18500,Operational,0.63,0.73,,<1,<1
201711890,05-03-17,10:15,20900,Operational,0.85,0.96,,<1,<1
201711891,05-03-17,11:40,21900,Operational,0.57,0.95,,<1,<1
201711892,05-03-17,09:07,23850,Compliance,0.75,0.86,,<1,<1
201711893,05-03-17,12:21,25150,Compliance,0.51,0.90,,<1,<1
201711894,05-03-17,11:14,26750,Compliance,0.55,0.85,,<1,<1
201711895,05-03-17,09:24,27000,Operational,0.65,1.04,,<1,<1
201711896,05-03-17,08:18,27550,Compliance,0.55,0.87,,<1,<1
201711897,05-03-17,11:45,27600,Operational,0.61,0.89,,<1,<1
201711898,05-03-17,08:45,27850,Compliance,0.53,1.05,,<1,<1
201711899,05-03-17,09:42,29050,Compliance,0.81,0.78,,<1,<1
201711900,05-03-17,10:28,29450,Compliance,0.60,0.99,,<1,<1
201711901,05-03-17,08:26,30250,Compliance,0.53,1.06,,<1,<1
201711902,05-03-17,09:05,32650,Compliance,0.68,0.95,,<1,<1
201711903,05-03-17,11:33,33300,Operational,0.59,0.91,,<1,<1
